N.data,n.segments,case,sum.splits,max.depth,max.segments
200,19,best.heuristic,604,8,19
200,19,best,439,6,19
200,19,worst,3610,18,19
200,200,best.heuristic,1345,8,N.data
200,200,best,1345,8,N.data
200,200,worst,19900,199,N.data
100,19,best.heuristic,306,7,19
100,19,best,239,6,19
100,19,worst,1710,18,19
100,100,best.heuristic,573,7,N.data
100,100,best,573,7,N.data
100,100,worst,4950,99,N.data
1000,19,best.heuristic,2986,10,19
1000,19,worst,18810,999,19
1000,1000,best.heuristic,8977,10,N.data
1000,1000,worst,499500,999,N.data
10000,19,best.heuristic,29971,14,19
10000,19,worst,189810,9999,19
10000,10000,best.heuristic,123617,14,N.data
10000,10000,worst,49995000,9999,N.data
100000,19,best.heuristic,299961,17,19
100000,19,worst,1899810,99999,19
100000,100000,best.heuristic,1568929,17,N.data
100000,100000,worst,4999950000,99999,N.data
