N.data,max.segs,case,package,seconds_median,seconds_min,seconds_max,seconds_timings,computed.ends,valid.ends,loss,computed.N
4,2,flat,binsegRcpp.list,0.0012497,0.0012184,0.001429,5,2|4,2|4,4.25849403700689,2
4,2,flat,binsegRcpp.multiset,0.0021891,0.001446,0.0143464,5,2|4,2|4,4.25849403700689,2
4,2,flat,blockcpd,0.0005064,0.0002829,0.0389291,5,2|4,2|4,4.25849403700689,2
4,2,flat,changepoint,0.0008279,0.0007153,0.157295,5,0|4,4,,2
4,2,flat,ruptures,0.0011798,0.0009227,0.0017537,5,4,4,5.48947650822618,1
4,2,best,binsegRcpp.list,0.0014587,0.0012242,0.0014801,5,2|4,2|4,2.90316541057891,2
4,2,best,binsegRcpp.multiset,0.0013155,0.0012231,0.0014084,5,2|4,2|4,2.90316541057891,2
4,2,best,blockcpd,0.0002768,0.0002708,0.0003599,5,2|4,2|4,2.90316541057891,2
4,2,best,changepoint,0.0004884,0.000397,0.0005799,5,0|4,4,,2
4,2,best,ruptures,0.0010092,0.000928,0.0011597,5,4,4,6.12204123544711,1
4,2,worst,binsegRcpp.list,0.0013101,0.0012822,0.0015291,5,2|4,2|4,2.90316541057891,2
4,2,worst,binsegRcpp.multiset,0.0013455,0.0013344,0.0014866,5,2|4,2|4,2.90316541057891,2
4,2,worst,blockcpd,0.0002811,0.0002438,0.0003769,5,2|4,2|4,2.90316541057891,2
4,2,worst,changepoint,0.0005352,0.0004836,0.0005801,5,0|4,4,,2
4,2,worst,ruptures,0.0010435,0.0009857,0.0017693,5,4,4,12.1334064442614,1
8,4,flat,binsegRcpp.list,0.0015006,0.0013744,0.0019921,5,3|6|8,3|6|8,4.69338047998869,3
8,4,flat,binsegRcpp.multiset,0.0018373,0.0016507,0.0019055,5,3|6|8,3|6|8,4.69338047998869,3
8,4,flat,blockcpd,0.0006244,0.0005771,0.0009577,5,3|6|8,3|6|8,4.69338047998869,3
8,4,flat,changepoint,0.0005773,0.0005564,0.0007951,5,0|0|3|8,3|8,,4
8,4,flat,ruptures,0.0017942,0.0013271,0.0020495,5,3|8,3|8,7.62803812536365,2
8,4,best,binsegRcpp.list,0.0023716,0.0014143,0.0028267,5,2|4|6|8,2|4|6|8,5.80633082115782,4
8,4,best,binsegRcpp.multiset,0.0017825,0.0013565,0.0023863,5,2|4|6|8,2|4|6|8,5.80633082115782,4
8,4,best,blockcpd,0.0008041,0.0006988,0.001421,5,2|4|6|8,2|4|6|8,5.80633082115782,4
8,4,best,changepoint,0.0009158,0.0006386,0.0010738,5,0|0|4|8,4|8,,4
8,4,best,ruptures,0.0016179,0.001516,0.0025028,5,4|8,4|8,12.2440824708942,2
8,4,worst,binsegRcpp.list,0.0014313,0.0013567,0.0014822,5,2|4|6|8,2|4|6|8,5.80633082115782,4
8,4,worst,binsegRcpp.multiset,0.0014923,0.0013,0.0016842,5,2|4|6|8,2|4|6|8,5.80633082115782,4
8,4,worst,blockcpd,0.000786,0.0007429,0.0009254,5,2|4|6|8,2|4|6|8,5.80633082115782,4
8,4,worst,changepoint,0.0005286,0.0004462,0.0009013,5,0|0|3|8,3|8,,4
8,4,worst,ruptures,0.0014774,0.0014593,0.0015171,5,5|8,5|8,23.912867795828,2
16,8,flat,binsegRcpp.list,0.0014178,0.0013624,0.0020931,5,3|6|9|12|14|16,3|6|9|12|14|16,11.0084440142626,6
16,8,flat,binsegRcpp.multiset,0.0011954,0.0011827,0.0012381,5,3|6|9|12|14|16,3|6|9|12|14|16,11.0084440142626,6
16,8,flat,blockcpd,0.0017081,0.0016884,0.0034765,5,3|6|9|12|14|16,3|6|9|12|14|16,11.0084440142626,6
16,8,flat,changepoint,0.0005861,0.0004917,0.0009025,5,0|0|0|3|6|9|12|16,3|6|9|12|16,,8
16,8,flat,ruptures,0.005569,0.0038945,0.0061264,5,3|6|9|12|16,3|6|9|12|16,13.2742508401804,5
16,8,best,binsegRcpp.list,0.0014914,0.0013107,0.0018592,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,11.6126616423156,8
16,8,best,binsegRcpp.multiset,0.001524,0.0013461,0.0025445,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,11.6126616423156,8
16,8,best,blockcpd,0.0019084,0.0018426,0.0020377,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,11.6126616423156,8
16,8,best,changepoint,0.0006166,0.0004791,0.0006435,5,0|0|0|0|4|8|12|16,4|8|12|16,,8
16,8,best,ruptures,0.0032914,0.0030957,0.0034596,5,4|8|12|16,4|8|12|16,24.4881649417884,4
16,8,worst,binsegRcpp.list,0.0022657,0.0015749,0.0026334,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,11.6126616423156,8
16,8,worst,binsegRcpp.multiset,0.001716,0.0015972,0.0025005,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,11.6126616423156,8
16,8,worst,blockcpd,0.0037914,0.0027319,0.0055774,5,2|4|6|8|10|12|14|16,2|4|6|8|10|12|14|16,11.6126616423156,8
16,8,worst,changepoint,0.0006478,0.0005803,0.0010544,5,0|0|0|0|0|0|0|16,16,,8
16,8,worst,ruptures,0.0056259,0.0031762,0.0072079,5,3|6|9|12|16,3|6|9|12|16,47.7973735855474,5
32,16,flat,binsegRcpp.list,0.001236,0.0011805,0.0017951,5,3|6|9|12|14|17|19|21|23|25|27|29|32,3|6|9|12|14|17|19|21|23|25|27|29|32,13.2905311593102,13
32,16,flat,binsegRcpp.multiset,0.0013941,0.0012219,0.0026941,5,3|6|9|12|14|17|19|21|23|25|27|29|32,3|6|9|12|14|17|19|21|23|25|27|29|32,13.2905311593102,13
32,16,flat,blockcpd,0.0055225,0.0051263,0.0068237,5,3|6|9|12|14|17|19|21|23|25|27|29|32,3|6|9|12|14|17|19|21|23|25|27|29|32,13.2905311593102,13
32,16,flat,changepoint,0.0004865,0.0004333,0.000578,5,0|0|0|0|0|3|6|9|12|15|18|21|23|27|29|32,3|6|9|12|15|18|21|23|27|29|32,,16
32,16,flat,ruptures,0.0090218,0.0087748,0.0163711,5,3|6|9|12|15|18|23|26|29|32,3|6|9|12|15|18|23|26|29|32,24.8826425880481,10
32,16,best,binsegRcpp.list,0.0012433,0.0012033,0.0014511,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,23.2253232846313,16
32,16,best,binsegRcpp.multiset,0.0014126,0.0012817,0.0015937,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,23.2253232846313,16
32,16,best,blockcpd,0.0071325,0.0043515,0.0096713,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,23.2253232846313,16
32,16,best,changepoint,0.0007424,0.0006086,0.0010583,5,0|0|0|0|0|0|0|0|4|8|12|16|20|24|28|32,4|8|12|16|20|24|28|32,,16
32,16,best,ruptures,0.0112288,0.0069632,0.0129465,5,4|8|12|16|20|24|28|32,4|8|12|16|20|24|28|32,48.9763298835769,8
32,16,worst,binsegRcpp.list,0.0014659,0.0012796,0.0018532,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,23.2253232846313,16
32,16,worst,binsegRcpp.multiset,0.0014785,0.0011997,0.0022686,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,23.2253232846313,16
32,16,worst,blockcpd,0.0094696,0.0093237,0.0157234,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32,23.2253232846313,16
32,16,worst,changepoint,0.0006362,0.0004525,0.0006429,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,32,,16
32,16,worst,ruptures,0.0084628,0.0080906,0.0093814,5,5|8|11|14|17|20|23|26|29|32,5|8|11|14|17|20|23|26|29|32,95.2408020784,10
64,32,flat,binsegRcpp.list,0.0015297,0.0015138,0.0023824,5,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,13.4933190933774,26
64,32,flat,binsegRcpp.multiset,0.0022036,0.0014768,0.0024437,5,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,13.4933190933774,26
64,32,flat,blockcpd,0.01792,0.0130696,0.023031,5,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,13.4933190933774,26
64,32,flat,changepoint,0.0007631,0.0005749,0.0010851,5,0|0|0|0|0|0|0|0|3|6|9|12|15|17|21|23|25|27|29|31|34|37|40|44|46|49|51|54|57|59|61|64,3|6|9|12|15|17|21|23|25|27|29|31|34|37|40|44|46|49|51|54|57|59|61|64,,32
64,32,flat,ruptures,0.0257173,0.0228626,0.029096,5,3|6|9|12|15|18|23|28|31|34|37|40|43|46|51|54|57|61|64,3|6|9|12|15|18|23|28|31|34|37|40|43|46|51|54|57|61|64,49.9312810609897,19
64,32,best,binsegRcpp.list,0.0015602,0.0014972,0.0024472,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,best,binsegRcpp.multiset,0.0025119,0.0014964,0.0026424,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,best,blockcpd,0.018973,0.0107308,0.0234852,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,best,changepoint,0.0014615,0.001393,0.0015138,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,,32
64,32,best,ruptures,0.0224951,0.0181568,0.0239386,5,4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,97.9526597671538,16
64,32,worst,binsegRcpp.list,0.0015608,0.0014092,0.0021667,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,worst,binsegRcpp.multiset,0.0016022,0.001529,0.0020249,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,worst,blockcpd,0.0430363,0.0358165,0.0448047,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,worst,changepoint,0.0006311,0.0005228,0.000703,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64,64,,32
